source,site_id,site_name,network,site_id_network,division,water_district,county,latitude,longitude,start_date,end_date,notes
cdss_climate,13778,DENVER,CoAgMet,DEN01,1,8,,39.7836,-104.974,2023-01-01,2026-02-14,
cdss_climate,10154,PUNKIN CENTER,CoAgMet,PKN01,2,67,,38.9313,-103.685,2022-01-01,2026-02-14,
cdss_climate,1886,"CENTER, CSU SAN LUIS VALLEY EXPT STA",CoAgMet,CTR01,3,20,RIO GRANDE,37.706703,-106.144004,1993-10-08,2026-02-14,
cdss_climate,13899,&NBSP;,CoAgMet,NUC01,4,60,,38.2658,-108.546,2024-01-01,2026-02-14,
cdss_climate,2906,"WOLFORD MTN RESERVOIR, 5 MI NNW KREMMLING",CoAgMet,WFD01,5,50,GRAND,40.138703,-106.415018,2004-11-30,2026-02-14,
cdss_climate,14385,YAMPA,CoAgMet,YAM01,6,58,,40.2012,-106.921,2025-01-01,2026-02-14,
cdss_climate,10049,CANYON OF THE ANCIENTS,CoAgMet,CYA01,7,32,,37.5009,-108.815,2021-01-01,2026-02-14,
cdss_climate,2904,"STERLING, STERLING",CoAgMet,STG01,,,,,,2006-01-01,2026-02-14,
cdss_climate,4473,CHEYENNE WELLS 0.7 WNW,CoCoRaHS,US1COCH0031,1,49,CHEYENNE,38.821804,-102.363604,2008-10-03,2026-06-12,
cdss_climate,4048,CAMPO 7.8 NE,CoCoRaHS,US1COBA0009,2,66,BACA,37.178208,-102.470808,2007-01-03,2026-06-13,
cdss_climate,4120,FORT GARLAND 5.8 ESE,CoCoRaHS,US1COCS0011,3,35,COSTILLA,37.390008,-105.336116,1998-06-17,2025-02-12,
cdss_climate,4279,RIDGWAY 3.3 NNW,CoCoRaHS,US1COOR0013,4,68,OURAY,38.201309,-107.770014,2010-09-26,2026-06-01,
cdss_climate,4596,GRAND JUNCTION 5.5 SW,CoCoRaHS,US1COME0064,5,72,MESA,39.039303,-108.634909,2007-10-01,2026-06-13,
cdss_climate,5302,MEEKER 14.3 ESE,CoCoRaHS,US1CORB0018,6,43,RIO BLANCO,39.96691,-107.644009,2006-09-20,2026-05-31,
cdss_climate,4034,HESPERUS 13.3 SSW,CoCoRaHS,US1COLP0026,7,33,LA PLATA,37.111204,-108.144513,2004-10-27,2026-06-13,
cdss_climate,5647,GALETON 1.6 E,CoCoRaHS,US1COWE0303,,,,,,2007-07-08,2026-06-13,
cdss_climate,5791,FORT COLLINS EAST,NCWCD,101,1,3,LARIMER,40.62282,-104.959066,1994-01-01,2026-12-31,
cdss_climate,5792,LOVELAN,NCWCD,102,1,4,LARIMER,40.429168,-105.068989,1996-01-01,2026-12-31,
cdss_climate,5793,LONGMONT SOUTH,NCWCD,103,1,6,BOULDER,40.074436,-105.076886,1994-01-01,2026-12-31,
cdss_climate,5794,EATON,NCWCD,104,1,3,WELD,40.576447,-104.770396,2008-01-01,2026-12-31,
cdss_climate,5795,GILCREST,NCWCD,105,1,2,WELD,40.262968,-104.841869,1994-01-01,2026-12-31,
cdss_climate,5796,WIGGINS,NCWCD,106,1,1,MORGAN,40.303271,-104.014985,2008-01-01,2026-12-31,
cdss_climate,5810,NATIVE GRASSES,NCWCD,350,5,51,GRAND,40.107624,-105.966016,1998-09-12,2026-12-31,
cdss_climate,5811,SHADOW MOUNTAIN,NCWCD,352,5,51,GRAND,40.207366,-105.841524,2011-09-16,2026-12-31,
cdss_climate,3029,GOODLAND,NOAA,USW00023065,0,0,,,,1895-06-01,2026-12-31,
cdss_climate,10064,"AGATE 3.7 NW, CO US",NOAA,US1COEL0099,1,1,,39.513542,-103.991912,2020-12-29,2026-06-10,
cdss_climate,10075,"COLORADO CITY 1.1 E, CO US",NOAA,US1COPU0135,2,15,,37.9424,-104.8262,2018-10-08,2026-05-29,
cdss_climate,10066,"ALAMOSA 0.6 NE, CO US",NOAA,US1COAM0037,3,20,,37.47397,-105.86494,2017-11-08,2026-05-01,
cdss_climate,10081,"DELTA 5.9 S, CO US",NOAA,US1COMT0058,4,41,,38.66045,-108.05945,2020-03-22,2026-05-07,
cdss_climate,10073,"CARBONDALE 5.5 E, CO US",NOAA,US1COEG0057,5,38,,39.39882,-107.111588,2020-02-08,2026-05-27,
cdss_climate,11453,"HAYDEN YAMPA VALLEY AIRPORT, CO US",NOAA,USW00094025,6,57,,40.48111,-107.2175,2017-08-10,2026-12-31,
cdss_climate,10083,"DURANGO 0.9 W, CO US",NOAA,US1COLP0117,7,30,,37.28624,-107.88605,2020-11-29,2026-06-13,
cdss_climate,10417,ANTERO,NRCS,05L05,1,23,,38.92,-105.97,2025-01-29,2026-04-30,
cdss_climate,10418,ANTERO RESERVOIR,NRCS,05L06,1,23,,39.0,-105.88,2025-01-29,2026-04-30,
cdss_climate,10419,APISHAPA,NRCS,05M07S,2,16,,37.33,-105.07,2021-04-30,2026-12-31,
cdss_climate,10425,BEARTOWN,NRCS,07M32S,3,20,,37.71,-107.51,1980-07-12,2026-12-31,
cdss_climate,10442,BUTTE,NRCS,06L11S,4,59,,38.89,-106.95,1980-10-01,2026-12-31,
cdss_climate,10420,ARAPAHO RIDGE,NRCS,06J08S,5,50,,40.35,-106.38,2002-08-14,2026-12-31,
cdss_climate,10424,BEAR RIVER,NRCS,07J03S,6,58,,40.06,-107.01,2004-10-01,2026-12-31,
cdss_climate,10433,BLACK MESA,NRCS,08M12S,7,71,,37.79,-108.18,2012-08-23,2026-12-31,
